true_label,Acoustic guitar,Applause,Bark,"Burping, eructation",Bus,Chime,Clarinet,Computer keyboard,Cough,Cowbell,Drawer open or close,Electric piano,Fart,Finger snapping,Fireworks,Flute,Glockenspiel,Gong,"Gunshot, gunfire",Harmonica,Hi-hat,Keys jangling,Knock,Laughter,Meow,Microwave oven,Saxophone,Scissors,Shatter,Squeak,Tambourine,Tearing,Telephone,Trumpet,"Violin, fiddle",Writing
Acoustic guitar,50,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0
Applause,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1
Bark,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Burping, eructation",0,0,2,46,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,3,0,1,0,1,0,0,0,0,0,0,0
Bus,0,0,0,0,55,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chime,0,1,0,0,0,36,0,1,0,1,0,0,1,0,0,0,12,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,3
Clarinet,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,2,2,0,0,0,0,1
Computer keyboard,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,1,0,0,0,4,0,0,0
Cough,0,0,0,0,0,0,0,0,41,0,0,0,0,3,1,0,0,0,0,0,0,0,2,10,0,0,0,1,0,0,0,1,0,0,0,1
Cowbell,0,0,0,0,0,5,0,0,0,52,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drawer open or close,1,0,0,2,1,0,0,1,0,0,34,0,0,2,3,1,0,0,2,0,0,1,0,0,0,2,0,4,1,0,0,1,1,0,0,3
Electric piano,5,0,0,0,0,0,0,0,0,0,0,47,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Fart,0,0,0,1,2,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Finger snapping,0,0,0,0,0,0,0,1,0,1,0,0,0,41,0,0,0,0,9,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,2
Fireworks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0,0,4,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Flute,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glockenspiel,5,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,39,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Gong,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Gunshot, gunfire",0,0,0,0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,44,0,0,1,2,0,0,0,0,2,1,0,0,0,3,0,0,0
Harmonica,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Hi-hat,16,10,0,0,0,0,0,1,0,9,0,1,2,0,0,0,0,1,0,0,14,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2
Keys jangling,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,31,2,1,0,4,0,5,3,2,4,0,1,0,0,0
Knock,0,0,0,0,0,0,0,3,0,0,4,0,0,4,0,0,0,0,1,0,0,3,39,0,0,0,0,2,0,0,0,0,0,0,0,4
Laughter,0,0,0,1,1,0,0,0,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,43,0,2,0,0,4,0,1,0,1,0,1,0
Meow,1,1,6,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,1,1,0,0,0,1
Microwave oven,0,0,0,0,6,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,4,0,0,2,37,0,0,0,0,4,0,1,0,0,1
Saxophone,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,43,0,0,0,0,0,0,8,0,0
Scissors,1,0,0,0,2,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,3,2,0,0,6,0,24,0,0,0,1,1,0,0,13
Shatter,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,2,6,0,0,4,0,0,0,38,1,1,1,1,0,0,0
Squeak,1,0,2,2,0,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,2,6,0,0,0,2,27,0,1,6,0,2,1
Tambourine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,57,0,0,0,0,2
Tearing,0,1,0,0,1,0,0,6,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,10,1,0,0,31,0,0,0,4
Telephone,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,4,0,0,0,0,41,0,0,2
Trumpet,0,0,0,0,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,1,0,0,40,0,0
"Violin, fiddle",2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,45,0
Writing,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,7,0,0,1,2,0,1,2,1,1,0,36
