label,support,correct_predictions,incorrect_predictions,precision,recall,f1
Acoustic guitar,60,50,10,0.5747126436781609,0.8333333333333334,0.6802721088435374
Applause,60,52,8,0.7323943661971831,0.8666666666666667,0.7938931297709925
Bark,60,54,6,0.84375,0.9,0.870967741935484
"Burping, eructation",60,46,14,0.8214285714285714,0.7666666666666667,0.793103448275862
Bus,60,55,5,0.7638888888888888,0.9166666666666666,0.8333333333333334
Chime,60,36,24,0.5901639344262295,0.6,0.5950413223140496
Clarinet,60,47,13,0.7230769230769231,0.7833333333333333,0.752
Computer keyboard,60,49,11,0.6533333333333333,0.8166666666666667,0.725925925925926
Cough,60,41,19,0.9318181818181818,0.6833333333333333,0.7884615384615384
Cowbell,60,52,8,0.7428571428571429,0.8666666666666667,0.8
Drawer open or close,60,34,26,0.7391304347826086,0.5666666666666667,0.6415094339622641
Electric piano,60,47,13,0.8867924528301887,0.7833333333333333,0.8318584070796461
Fart,60,56,4,0.835820895522388,0.9333333333333333,0.8818897637795275
Finger snapping,60,41,19,0.803921568627451,0.6833333333333333,0.7387387387387387
Fireworks,60,49,11,0.8596491228070176,0.8166666666666667,0.8376068376068376
Flute,60,59,1,0.8805970149253731,0.9833333333333333,0.9291338582677166
Glockenspiel,60,39,21,0.639344262295082,0.65,0.6446280991735538
Gong,60,58,2,0.8923076923076924,0.9666666666666667,0.928
"Gunshot, gunfire",60,44,16,0.676923076923077,0.7333333333333333,0.7040000000000001
Harmonica,60,54,6,0.8709677419354839,0.9,0.8852459016393444
Hi-hat,60,14,46,0.7368421052631579,0.23333333333333334,0.35443037974683544
Keys jangling,60,31,29,0.5344827586206896,0.5166666666666667,0.5254237288135593
Knock,60,39,21,0.6190476190476191,0.65,0.6341463414634146
Laughter,60,43,17,0.6323529411764706,0.7166666666666667,0.671875
Meow,60,46,14,0.6052631578947368,0.7666666666666667,0.676470588235294
Microwave oven,60,37,23,0.6851851851851852,0.6166666666666667,0.6491228070175439
Saxophone,60,43,17,0.7288135593220338,0.7166666666666667,0.7226890756302521
Scissors,60,24,36,0.4444444444444444,0.4,0.4210526315789474
Shatter,60,38,22,0.6909090909090909,0.6333333333333333,0.6608695652173913
Squeak,60,27,33,0.8181818181818182,0.45,0.5806451612903226
Tambourine,60,57,3,0.7307692307692307,0.95,0.8260869565217392
Tearing,60,31,29,0.775,0.5166666666666667,0.62
Telephone,60,41,19,0.6612903225806451,0.6833333333333333,0.6721311475409835
Trumpet,60,40,20,0.7692307692307693,0.6666666666666666,0.7142857142857142
"Violin, fiddle",60,45,15,0.8653846153846154,0.75,0.8035714285714286
Writing,60,36,24,0.46153846153846156,0.6,0.5217391304347826
