true_label,Acoustic guitar,Applause,Bark,"Burping, eructation",Bus,Chime,Clarinet,Computer keyboard,Cough,Cowbell,Drawer open or close,Electric piano,Fart,Finger snapping,Fireworks,Flute,Glockenspiel,Gong,"Gunshot, gunfire",Harmonica,Hi-hat,Keys jangling,Knock,Laughter,Meow,Microwave oven,Saxophone,Scissors,Shatter,Squeak,Tambourine,Tearing,Telephone,Trumpet,"Violin, fiddle",Writing
Acoustic guitar,46,7,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Applause,2,42,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,1,0,3,0,0,0,0,2
Bark,0,0,49,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
"Burping, eructation",1,0,0,51,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,1
Bus,0,0,0,0,58,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chime,0,2,0,0,0,29,0,0,0,2,0,0,0,0,0,0,18,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,0,3
Clarinet,1,0,0,0,0,0,38,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,2,2,0,0,8,0,0,0,2,0,0,1,2,0
Computer keyboard,0,0,0,0,0,0,0,40,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,4,0,1,2,0,0,0,7,0,0,0
Cough,0,1,1,1,0,0,0,0,44,1,0,0,0,0,1,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0
Cowbell,2,0,0,2,0,1,1,0,0,48,1,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drawer open or close,0,0,0,1,1,1,0,3,0,0,19,2,0,3,1,3,1,1,2,0,0,3,4,1,0,3,0,3,0,2,0,2,1,0,0,3
Electric piano,4,0,0,0,0,1,0,0,0,0,0,50,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Fart,0,1,1,2,0,0,2,0,0,0,1,0,36,1,0,1,0,0,0,0,2,0,2,4,3,0,0,0,1,0,0,0,0,1,0,2
Finger snapping,0,1,0,1,1,1,0,1,1,0,2,0,0,34,0,1,1,0,4,1,0,0,1,6,0,0,0,1,0,0,0,0,1,0,0,2
Fireworks,0,1,0,1,1,0,0,0,0,0,0,0,0,0,39,0,0,0,12,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,1
Flute,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Glockenspiel,7,0,0,0,0,11,0,0,0,4,0,0,0,0,0,0,36,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gong,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Gunshot, gunfire",0,0,0,0,2,0,0,4,0,0,1,0,0,0,0,0,1,0,43,0,0,1,0,1,1,2,0,1,2,0,0,1,0,0,0,0
Harmonica,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Hi-hat,12,8,0,1,0,0,0,3,0,8,1,1,0,0,0,0,0,0,0,0,13,0,4,1,0,0,0,0,2,0,0,0,5,0,0,1
Keys jangling,0,2,0,0,1,1,0,2,0,0,0,2,0,0,0,0,0,0,1,0,1,38,1,0,0,2,0,3,1,0,1,2,2,0,0,0
Knock,0,0,0,0,0,0,0,3,3,0,2,0,1,5,0,0,0,0,0,0,1,5,33,0,0,2,0,1,0,2,0,0,1,0,0,1
Laughter,0,1,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,3,0,0,1,43,1,0,0,0,3,0,0,0,1,0,0,0
Meow,1,0,2,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,47,0,0,0,0,2,1,0,0,0,0,0
Microwave oven,2,0,0,0,10,0,0,0,0,0,4,0,2,0,0,0,0,3,1,0,0,0,4,0,1,24,0,0,1,1,1,0,2,0,0,4
Saxophone,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,33,0,0,0,2,0,0,11,0,0
Scissors,1,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,1,0,0,6,0,0,0,3,0,26,0,0,0,5,2,1,0,9
Shatter,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,3,3,1,2,0,0,0,0,44,0,1,1,0,0,0,0
Squeak,1,0,4,0,2,0,0,0,3,0,1,2,0,0,2,0,1,0,0,1,0,2,3,2,2,0,1,0,4,23,0,2,3,0,0,1
Tambourine,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,49,1,0,0,1,0
Tearing,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,1,0,1,0,0,3,2,0,0,3,0,2,5,0,0,29,1,0,0,8
Telephone,0,1,0,2,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,45,0,0,3
Trumpet,0,0,0,0,1,0,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,4,0,1,0,0,0,0,43,1,0
"Violin, fiddle",2,0,0,0,1,0,4,0,0,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1
Writing,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,2,0,0,0,1,3,0,5,0,0,3,0,4,1,2,0,0,0,33
