label,support,correct_predictions,incorrect_predictions,precision,recall,f1
Acoustic guitar,60,46,14,0.5168539325842697,0.7666666666666667,0.6174496644295303
Applause,60,42,18,0.6176470588235294,0.7,0.65625
Bark,60,49,11,0.8596491228070176,0.8166666666666667,0.8376068376068376
"Burping, eructation",60,51,9,0.7611940298507462,0.85,0.8031496062992126
Bus,60,58,2,0.6987951807228916,0.9666666666666667,0.8111888111888113
Chime,60,29,31,0.6304347826086957,0.48333333333333334,0.5471698113207547
Clarinet,60,38,22,0.59375,0.6333333333333333,0.6129032258064516
Computer keyboard,60,40,20,0.6060606060606061,0.6666666666666666,0.6349206349206349
Cough,60,44,16,0.7333333333333333,0.7333333333333333,0.7333333333333333
Cowbell,60,48,12,0.7272727272727273,0.8,0.761904761904762
Drawer open or close,60,19,41,0.4523809523809524,0.31666666666666665,0.37254901960784315
Electric piano,60,50,10,0.78125,0.8333333333333334,0.8064516129032259
Fart,60,36,24,0.782608695652174,0.6,0.6792452830188679
Finger snapping,60,34,26,0.723404255319149,0.5666666666666667,0.6355140186915887
Fireworks,60,39,21,0.8666666666666667,0.65,0.7428571428571429
Flute,60,55,5,0.7746478873239436,0.9166666666666666,0.8396946564885496
Glockenspiel,60,36,24,0.5070422535211268,0.6,0.549618320610687
Gong,60,54,6,0.8709677419354839,0.9,0.8852459016393444
"Gunshot, gunfire",60,43,17,0.6615384615384615,0.7166666666666667,0.688
Harmonica,60,51,9,0.8225806451612904,0.85,0.8360655737704918
Hi-hat,60,13,47,0.6190476190476191,0.21666666666666667,0.32098765432098764
Keys jangling,60,38,22,0.5205479452054794,0.6333333333333333,0.5714285714285714
Knock,60,33,27,0.4782608695652174,0.55,0.5116279069767442
Laughter,60,43,17,0.5657894736842105,0.7166666666666667,0.6323529411764706
Meow,60,47,13,0.6714285714285714,0.7833333333333333,0.7230769230769231
Microwave oven,60,24,36,0.5454545454545454,0.4,0.4615384615384615
Saxophone,60,33,27,0.66,0.55,0.6000000000000001
Scissors,60,26,34,0.6341463414634146,0.43333333333333335,0.514851485148515
Shatter,60,44,16,0.6027397260273972,0.7333333333333333,0.6616541353383458
Squeak,60,23,37,0.6216216216216216,0.38333333333333336,0.4742268041237113
Tambourine,60,49,11,0.7903225806451613,0.8166666666666667,0.8032786885245902
Tearing,60,29,31,0.6170212765957447,0.48333333333333334,0.5420560747663552
Telephone,60,45,15,0.6081081081081081,0.75,0.6716417910447762
Trumpet,60,43,17,0.7543859649122807,0.7166666666666667,0.735042735042735
"Violin, fiddle",60,44,16,0.8979591836734694,0.7333333333333333,0.8073394495412844
Writing,60,33,27,0.4342105263157895,0.55,0.4852941176470588
