label,support,correct_predictions,incorrect_predictions,precision,recall,f1
Acoustic guitar,180,132,48,0.5814977973568282,0.7333333333333333,0.6486486486486486
Applause,180,135,45,0.6081081081081081,0.75,0.6716417910447762
Bark,180,152,28,0.8260869565217391,0.8444444444444444,0.8351648351648352
"Burping, eructation",180,140,40,0.7650273224043715,0.7777777777777778,0.7713498622589532
Bus,180,134,46,0.7444444444444445,0.7444444444444445,0.7444444444444445
Chime,180,104,76,0.5875706214689266,0.5777777777777777,0.5826330532212884
Clarinet,180,112,68,0.7,0.6222222222222222,0.6588235294117647
Computer keyboard,180,110,70,0.6395348837209303,0.6111111111111112,0.6250000000000001
Cough,180,125,55,0.7485029940119761,0.6944444444444444,0.7204610951008645
Cowbell,180,137,43,0.6748768472906403,0.7611111111111111,0.7154046997389034
Drawer open or close,180,95,85,0.42035398230088494,0.5277777777777778,0.46798029556650245
Electric piano,180,145,35,0.7178217821782178,0.8055555555555556,0.7591623036649214
Fart,180,128,52,0.8258064516129032,0.7111111111111111,0.764179104477612
Finger snapping,180,100,80,0.6535947712418301,0.5555555555555556,0.6006006006006006
Fireworks,180,140,40,0.7954545454545454,0.7777777777777778,0.7865168539325843
Flute,180,164,16,0.7592592592592593,0.9111111111111111,0.8282828282828282
Glockenspiel,180,105,75,0.5,0.5833333333333334,0.5384615384615384
Gong,180,165,15,0.9166666666666666,0.9166666666666666,0.9166666666666666
"Gunshot, gunfire",180,128,52,0.6666666666666666,0.7111111111111111,0.6881720430107527
Harmonica,180,155,25,0.8333333333333334,0.8611111111111112,0.8469945355191256
Hi-hat,180,32,148,0.5714285714285714,0.17777777777777778,0.2711864406779661
Keys jangling,180,85,95,0.5151515151515151,0.4722222222222222,0.49275362318840576
Knock,180,98,82,0.47342995169082125,0.5444444444444444,0.5064599483204134
Laughter,180,129,51,0.49615384615384617,0.7166666666666667,0.5863636363636363
Meow,180,134,46,0.6871794871794872,0.7444444444444445,0.7146666666666666
Microwave oven,180,83,97,0.5928571428571429,0.46111111111111114,0.51875
Saxophone,180,111,69,0.6235955056179775,0.6166666666666667,0.6201117318435754
Scissors,180,70,110,0.46357615894039733,0.3888888888888889,0.4229607250755287
Shatter,180,111,69,0.6686746987951807,0.6166666666666667,0.6416184971098267
Squeak,180,66,114,0.8571428571428571,0.36666666666666664,0.5136186770428015
Tambourine,180,160,20,0.7174887892376681,0.8888888888888888,0.7940446650124069
Tearing,180,87,93,0.7073170731707317,0.48333333333333334,0.5742574257425742
Telephone,180,120,60,0.5357142857142857,0.6666666666666666,0.594059405940594
Trumpet,180,120,60,0.7017543859649122,0.6666666666666666,0.6837606837606838
"Violin, fiddle",180,123,57,0.7834394904458599,0.6833333333333333,0.7299703264094956
Writing,180,92,88,0.42592592592592593,0.5111111111111111,0.4646464646464646
