run_a,run_b,slice,samples,accuracy_a,accuracy_b,delta_accuracy,both_correct,both_wrong,only_a_correct,only_b_correct,chi2,p_value,significant_at_0.05
run1_baseline,run2_ce_only,mid,2160,0.673611,0.665278,-0.008333,1406,674,49,31,3.6125,0.057347,no
run1_baseline,run3_kd_crd,mid,2160,0.673611,0.675926,0.002315,1374,619,81,86,0.095808,0.756919,no
run1_baseline,run3b_crd_only,mid,2160,0.673611,0.668981,-0.00463,1398,658,57,47,0.778846,0.377494,no
run1_baseline,run3c_kd_only,mid,2160,0.673611,0.674537,0.000926,1410,658,45,47,0.01087,0.916965,no
run2_ce_only,run3_kd_crd,mid,2160,0.665278,0.675926,0.010648,1360,623,77,100,2.734463,0.098204,no
run2_ce_only,run3b_crd_only,mid,2160,0.665278,0.668981,0.003704,1384,662,53,61,0.429825,0.512075,no
run2_ce_only,run3c_kd_only,mid,2160,0.665278,0.674537,0.009259,1404,670,33,53,4.197674,0.040479,yes
run3_kd_crd,run3b_crd_only,mid,2160,0.675926,0.668981,-0.006944,1380,635,80,65,1.351724,0.244977,no
run3_kd_crd,run3c_kd_only,mid,2160,0.675926,0.674537,-0.001389,1392,635,68,65,0.030075,0.86232,no
run3b_crd_only,run3c_kd_only,mid,2160,0.668981,0.674537,0.005556,1406,664,39,51,1.344444,0.246252,no
run1_baseline,run2_ce_only,full,6480,0.65679,0.654784,-0.002006,4119,2100,137,124,0.551724,0.457614,no
run1_baseline,run3_kd_crd,full,6480,0.65679,0.662809,0.006019,4043,1972,213,252,3.105376,0.078034,no
run1_baseline,run3b_crd_only,full,6480,0.65679,0.657407,0.000617,4105,2069,151,155,0.029412,0.863832,no
run1_baseline,run3c_kd_only,full,6480,0.65679,0.660031,0.003241,4134,2081,122,143,1.509434,0.219225,no
run2_ce_only,run3_kd_crd,full,6480,0.654784,0.662809,0.008025,4011,1953,232,284,5.040698,0.024759,yes
run2_ce_only,run3b_crd_only,full,6480,0.654784,0.657407,0.002623,4083,2060,160,177,0.759644,0.38344,no
run2_ce_only,run3c_kd_only,full,6480,0.654784,0.660031,0.005247,4121,2081,122,156,3.917266,0.047793,yes
run3_kd_crd,run3b_crd_only,full,6480,0.662809,0.657407,-0.005401,4068,1993,227,192,2.75895,0.096712,no
run3_kd_crd,run3c_kd_only,full,6480,0.662809,0.660031,-0.002778,4087,1995,208,190,0.726131,0.39414,no
run3b_crd_only,run3c_kd_only,full,6480,0.657407,0.660031,0.002623,4123,2066,137,154,0.879725,0.348277,no
run1_baseline,run2_ce_only,snr_-5,1080,0.725926,0.728704,0.002778,764,273,20,23,0.093023,0.760368,no
run1_baseline,run3_kd_crd,snr_-5,1080,0.725926,0.72037,-0.005556,752,270,32,26,0.431034,0.511482,no
run1_baseline,run3b_crd_only,snr_-5,1080,0.725926,0.719444,-0.006481,761,280,23,16,0.923077,0.336668,no
run1_baseline,run3c_kd_only,snr_-5,1080,0.725926,0.728704,0.002778,767,276,17,20,0.108108,0.742308,no
run2_ce_only,run3_kd_crd,snr_-5,1080,0.728704,0.72037,-0.008333,752,267,35,26,1.04918,0.305696,no
run2_ce_only,run3b_crd_only,snr_-5,1080,0.728704,0.719444,-0.009259,759,275,28,18,1.76087,0.184516,no
run2_ce_only,run3c_kd_only,snr_-5,1080,0.728704,0.728704,0.0,770,276,17,17,0.029412,0.863832,no
run3_kd_crd,run3b_crd_only,snr_-5,1080,0.72037,0.719444,-0.000926,753,278,25,24,0.0,1.0,no
run3_kd_crd,run3c_kd_only,snr_-5,1080,0.72037,0.728704,0.008333,760,275,18,27,1.422222,0.233038,no
run3b_crd_only,run3c_kd_only,snr_-5,1080,0.719444,0.728704,0.009259,760,276,17,27,1.840909,0.174844,no
run1_baseline,run2_ce_only,snr_0,1080,0.715741,0.717593,0.001852,753,285,20,22,0.02381,0.877371,no
run1_baseline,run3_kd_crd,snr_0,1080,0.715741,0.719444,0.003704,745,275,28,32,0.15,0.698535,no
run1_baseline,run3b_crd_only,snr_0,1080,0.715741,0.719444,0.003704,755,285,18,22,0.225,0.635256,no
run1_baseline,run3c_kd_only,snr_0,1080,0.715741,0.717593,0.001852,755,287,18,20,0.026316,0.871131,no
run2_ce_only,run3_kd_crd,snr_0,1080,0.717593,0.719444,0.001852,737,265,38,40,0.012821,0.90985,no
run2_ce_only,run3b_crd_only,snr_0,1080,0.717593,0.719444,0.001852,755,283,20,22,0.02381,0.877371,no
run2_ce_only,run3c_kd_only,snr_0,1080,0.717593,0.717593,0.0,751,281,24,24,0.020833,0.885234,no
run3_kd_crd,run3b_crd_only,snr_0,1080,0.719444,0.719444,0.0,741,267,36,36,0.013889,0.906186,no
run3_kd_crd,run3c_kd_only,snr_0,1080,0.719444,0.717593,-0.001852,744,272,33,31,0.015625,0.900524,no
run3b_crd_only,run3c_kd_only,snr_0,1080,0.719444,0.717593,-0.001852,752,280,25,23,0.020833,0.885234,no
run1_baseline,run2_ce_only,snr_10,1080,0.662037,0.660185,-0.001852,691,343,24,22,0.021739,0.882783,no
run1_baseline,run3_kd_crd,snr_10,1080,0.662037,0.67037,0.008333,675,316,40,49,0.719101,0.396439,no
run1_baseline,run3b_crd_only,snr_10,1080,0.662037,0.661111,-0.000926,688,339,27,26,0.0,1.0,no
run1_baseline,run3c_kd_only,snr_10,1080,0.662037,0.667593,0.005556,694,338,21,27,0.520833,0.470486,no
run2_ce_only,run3_kd_crd,snr_10,1080,0.660185,0.67037,0.010185,669,312,44,55,1.010101,0.314879,no
run2_ce_only,run3b_crd_only,snr_10,1080,0.660185,0.661111,0.000926,682,335,31,32,0.0,1.0,no
run2_ce_only,run3c_kd_only,snr_10,1080,0.660185,0.667593,0.007407,694,340,19,27,1.065217,0.302028,no
run3_kd_crd,run3b_crd_only,snr_10,1080,0.67037,0.661111,-0.009259,678,320,46,36,0.987805,0.320279,no
run3_kd_crd,run3c_kd_only,snr_10,1080,0.67037,0.667593,-0.002778,687,322,37,34,0.056338,0.81238,no
run3b_crd_only,run3c_kd_only,snr_10,1080,0.661111,0.667593,0.006481,691,336,23,30,0.679245,0.409847,no
run1_baseline,run2_ce_only,snr_15,1080,0.613889,0.618519,0.00463,644,393,19,24,0.372093,0.541866,no
run1_baseline,run3_kd_crd,snr_15,1080,0.613889,0.625926,0.012037,626,367,37,50,1.655172,0.198256,no
