Phuong phap,Phien ban,SNR (dB),So mau (support),Top-1 Accuracy,Top-3 Accuracy,Balanced Acc,Precision Macro,Recall Macro,Macro-F1,Micro-F1,mAP,Macro-AUC,SI-SDR (dB),SI-SDR improvement (dB)
"BEATs baseline (published, metrics file only)",beats_baseline,5-10,2160,0.668056,,,,,0.660243,0.668056,,,,
"BEATs baseline (rebuilt, CE only, no FiLM)",run1_baseline,5-10,2160,0.673611,0.827315,0.673611,0.682259,0.673611,0.665233,0.673611,0.751199,0.971239,,
Mid expert - CE only (control),run2_ce_only,5-10,2160,0.665278,0.818981,0.665278,0.671282,0.665278,0.656,0.665278,0.745053,0.970406,,
Mid expert - KD + CRD,run3_kd_crd,5-10,2160,0.675926,0.826389,0.675926,0.680703,0.675926,0.667825,0.675926,0.738232,0.967785,,
Mid expert - CRD only,run3b_crd_only,5-10,2160,0.668981,0.823148,0.668981,0.671007,0.668981,0.661855,0.668981,0.747151,0.969701,,
Mid expert - KD only,run3c_kd_only,5-10,2160,0.674537,0.82037,0.674537,0.678172,0.674537,0.665134,0.674537,0.746422,0.969677,,
"BEATs baseline (published, metrics file only)",beats_baseline,all,6480,0.652315,,0.652315,0.660707,0.652315,0.647217,0.652315,0.725524,0.966021,,
"BEATs baseline (rebuilt, CE only, no FiLM)",run1_baseline,all,6480,0.65679,0.814815,0.65679,0.666279,0.65679,0.651577,0.65679,0.732583,0.967228,,
Mid expert - CE only (control),run2_ce_only,all,6480,0.654784,0.804321,0.654784,0.6652,0.654784,0.649459,0.654784,0.725249,0.965679,,
Mid expert - KD + CRD,run3_kd_crd,all,6480,0.662809,0.811883,0.662809,0.668335,0.662809,0.657174,0.662809,0.723086,0.963895,,
Mid expert - CRD only,run3b_crd_only,all,6480,0.657407,0.808179,0.657407,0.665591,0.657407,0.653393,0.657407,0.729691,0.965579,,
Mid expert - KD only,run3c_kd_only,all,6480,0.660031,0.807716,0.660031,0.668948,0.660031,0.65426,0.660031,0.728519,0.965486,,
"BEATs baseline (published, metrics file only)",beats_baseline,-5,1080,0.727778,,,,,0.723325,0.727778,,,,
"BEATs baseline (rebuilt, CE only, no FiLM)",run1_baseline,-5,1080,0.725926,0.872222,0.725926,0.735947,0.725926,0.720191,0.725926,0.812807,0.981004,,
Mid expert - CE only (control),run2_ce_only,-5,1080,0.728704,0.856481,0.728704,0.741956,0.728704,0.724049,0.728704,0.802075,0.979402,,
Mid expert - KD + CRD,run3_kd_crd,-5,1080,0.72037,0.856481,0.72037,0.729101,0.72037,0.71635,0.72037,0.798666,0.97859,,
Mid expert - CRD only,run3b_crd_only,-5,1080,0.719444,0.85,0.719444,0.731015,0.719444,0.715227,0.719444,0.802739,0.979445,,
Mid expert - KD only,run3c_kd_only,-5,1080,0.728704,0.864815,0.728704,0.734633,0.728704,0.721229,0.728704,0.805566,0.980453,,
"BEATs baseline (published, metrics file only)",beats_baseline,0,1080,0.708333,,,,,0.70225,0.708333,,,,
"BEATs baseline (rebuilt, CE only, no FiLM)",run1_baseline,0,1080,0.715741,0.855556,0.715741,0.732006,0.715741,0.709442,0.715741,0.798313,0.97825,,
Mid expert - CE only (control),run2_ce_only,0,1080,0.717593,0.84537,0.717593,0.733053,0.717593,0.711909,0.717593,0.792455,0.976795,,
Mid expert - KD + CRD,run3_kd_crd,0,1080,0.719444,0.852778,0.719444,0.737231,0.719444,0.714293,0.719444,0.78959,0.976218,,
Mid expert - CRD only,run3b_crd_only,0,1080,0.719444,0.84537,0.719444,0.738059,0.719444,0.71573,0.719444,0.792756,0.976556,,
Mid expert - KD only,run3c_kd_only,0,1080,0.717593,0.842593,0.717593,0.733531,0.717593,0.709788,0.717593,0.795187,0.976907,,
"BEATs baseline (published, metrics file only)",beats_baseline,10,1080,0.655556,,,,,0.64849,0.655556,,,,
"BEATs baseline (rebuilt, CE only, no FiLM)",run1_baseline,10,1080,0.662037,0.824074,0.662037,0.666056,0.662037,0.653358,0.662037,0.743314,0.969065,,
Mid expert - CE only (control),run2_ce_only,10,1080,0.660185,0.814815,0.660185,0.661858,0.660185,0.650728,0.660185,0.735808,0.968555,,
Mid expert - KD + CRD,run3_kd_crd,10,1080,0.67037,0.82037,0.67037,0.669891,0.67037,0.66034,0.67037,0.732397,0.965257,,
Mid expert - CRD only,run3b_crd_only,10,1080,0.661111,0.818519,0.661111,0.65668,0.661111,0.652312,0.661111,0.741173,0.967476,,
Mid expert - KD only,run3c_kd_only,10,1080,0.667593,0.814815,0.667593,0.667268,0.667593,0.65692,0.667593,0.739502,0.967474,,
"BEATs baseline (published, metrics file only)",beats_baseline,15,1080,0.610185,,,,,0.60525,0.610185,,,,
"BEATs baseline (rebuilt, CE only, no FiLM)",run1_baseline,15,1080,0.613889,0.776852,0.613889,0.627353,0.613889,0.609376,0.613889,0.679848,0.955213,,
Mid expert - CE only (control),run2_ce_only,15,1080,0.618519,0.773148,0.618519,0.638888,0.618519,0.61443,0.618519,0.680583,0.954899,,
Mid expert - KD + CRD,run3_kd_crd,15,1080,0.625926,0.774074,0.625926,0.63157,0.625926,0.620361,0.625926,0.682022,0.952623,,
Mid expert - CRD only,run3b_crd_only,15,1080,0.62037,0.774074,0.62037,0.637521,0.62037,0.616805,0.62037,0.684402,0.954739,,
Mid expert - KD only,run3c_kd_only,15,1080,0.619444,0.775,0.619444,0.640289,0.619444,0.616644,0.619444,0.680556,0.953408,,
"BEATs baseline (published, metrics file only)",beats_baseline,20,1080,0.531481,,,,,0.528485,0.531481,,,,
