run,slice,label,precision,recall,f1,support,average_precision
run1_baseline,full,Acoustic guitar,0.566524,0.733333,0.639225,180,0.786144
run1_baseline,full,Applause,0.598214,0.744444,0.663366,180,0.728
run1_baseline,full,Bark,0.822917,0.877778,0.849462,180,0.927548
run1_baseline,full,"Burping, eructation",0.744681,0.777778,0.76087,180,0.856373
run1_baseline,full,Bus,0.736559,0.761111,0.748634,180,0.79296
run1_baseline,full,Chime,0.582857,0.566667,0.574648,180,0.674139
run1_baseline,full,Clarinet,0.724359,0.627778,0.672619,180,0.745799
run1_baseline,full,Computer keyboard,0.627119,0.616667,0.621849,180,0.726277
run1_baseline,full,Cough,0.763636,0.7,0.730435,180,0.769785
run1_baseline,full,Cowbell,0.660194,0.755556,0.704663,180,0.791054
run1_baseline,full,Drawer open or close,0.438424,0.494444,0.464752,180,0.535932
run1_baseline,full,Electric piano,0.714286,0.805556,0.75718,180,0.850182
run1_baseline,full,Fart,0.866667,0.722222,0.787879,180,0.858607
run1_baseline,full,Finger snapping,0.654321,0.588889,0.619883,180,0.680703
run1_baseline,full,Fireworks,0.795455,0.777778,0.786517,180,0.860639
run1_baseline,full,Flute,0.769585,0.927778,0.84131,180,0.935441
run1_baseline,full,Glockenspiel,0.495327,0.588889,0.538071,180,0.536731
run1_baseline,full,Gong,0.912568,0.927778,0.92011,180,0.973815
run1_baseline,full,"Gunshot, gunfire",0.678571,0.738889,0.707447,180,0.787823
run1_baseline,full,Harmonica,0.844086,0.872222,0.857923,180,0.922663
run1_baseline,full,Hi-hat,0.592593,0.177778,0.273504,180,0.513728
run1_baseline,full,Keys jangling,0.566667,0.472222,0.515152,180,0.585945
run1_baseline,full,Knock,0.447826,0.572222,0.502439,180,0.610079
run1_baseline,full,Laughter,0.486486,0.7,0.574032,180,0.730917
run1_baseline,full,Meow,0.682292,0.727778,0.704301,180,0.792498
run1_baseline,full,Microwave oven,0.610294,0.461111,0.525316,180,0.534542
run1_baseline,full,Saxophone,0.631579,0.6,0.615385,180,0.742024
run1_baseline,full,Scissors,0.513889,0.411111,0.45679,180,0.486475
run1_baseline,full,Shatter,0.666667,0.622222,0.643678,180,0.724592
run1_baseline,full,Squeak,0.855263,0.361111,0.507812,180,0.556133
run1_baseline,full,Tambourine,0.764151,0.9,0.826531,180,0.915569
run1_baseline,full,Tearing,0.739837,0.505556,0.60066,180,0.645745
run1_baseline,full,Telephone,0.52193,0.661111,0.583333,180,0.705989
run1_baseline,full,Trumpet,0.687861,0.661111,0.674221,180,0.738884
run1_baseline,full,"Violin, fiddle",0.789809,0.688889,0.735905,180,0.805127
run1_baseline,full,Writing,0.432558,0.516667,0.470886,180,0.544124
run1_baseline,mid,Acoustic guitar,0.56962,0.75,0.647482,60,0.804181
run1_baseline,mid,Applause,0.6,0.75,0.666667,60,0.75145
run1_baseline,mid,Bark,0.833333,0.916667,0.873016,60,0.951538
run1_baseline,mid,"Burping, eructation",0.753623,0.866667,0.806202,60,0.903426
run1_baseline,mid,Bus,0.726027,0.883333,0.796992,60,0.863067
run1_baseline,mid,Chime,0.584906,0.516667,0.548673,60,0.636519
run1_baseline,mid,Clarinet,0.73913,0.566667,0.641509,60,0.695385
