Phuong phap,Phien ban,SNR (dB),So mau (support),Top-1 Accuracy,Top-3 Accuracy,Balanced Acc,Precision Macro,Recall Macro,Macro-F1,Micro-F1,mAP,Macro-AUC,SI-SDR (dB),SI-SDR improvement,Ghi chu
BEATs-MidExpert,run1-baseline,-5,1080,0.7259,0.8722,0.7259,0.7359,0.7259,0.7202,0.7259,0.8128,0.981,,,"Baseline dung lai: CE thuan, KHONG FiLM, chon checkpoint theo toan bo validation. Khong tach waveform nen khong co SI-SDR."
BEATs-MidExpert,run1-baseline,0,1080,0.7157,0.8556,0.7157,0.732,0.7157,0.7094,0.7157,0.7983,0.9782,,,"Baseline dung lai: CE thuan, KHONG FiLM, chon checkpoint theo toan bo validation. Khong tach waveform nen khong co SI-SDR."
BEATs-MidExpert,run1-baseline,5,1080,0.6852,0.8306,0.6852,0.707,0.6852,0.6775,0.6852,0.7646,0.9734,,,"Baseline dung lai: CE thuan, KHONG FiLM, chon checkpoint theo toan bo validation. Khong tach waveform nen khong co SI-SDR."
BEATs-MidExpert,run1-baseline,10,1080,0.662,0.8241,0.662,0.6661,0.662,0.6534,0.662,0.7433,0.9691,,,"Baseline dung lai: CE thuan, KHONG FiLM, chon checkpoint theo toan bo validation. Khong tach waveform nen khong co SI-SDR."
BEATs-MidExpert,run1-baseline,15,1080,0.6139,0.7769,0.6139,0.6274,0.6139,0.6094,0.6139,0.6798,0.9552,,,"Baseline dung lai: CE thuan, KHONG FiLM, chon checkpoint theo toan bo validation. Khong tach waveform nen khong co SI-SDR."
BEATs-MidExpert,run1-baseline,20,1080,0.538,0.7296,0.538,0.5546,0.538,0.5355,0.538,0.5998,0.9371,,,"Baseline dung lai: CE thuan, KHONG FiLM, chon checkpoint theo toan bo validation. Khong tach waveform nen khong co SI-SDR."
BEATs-MidExpert,run2-ce-only,-5,1080,0.7287,0.8565,0.7287,0.742,0.7287,0.724,0.7287,0.8021,0.9794,,,"CE thuan + FiLM theo SNR, chon checkpoint theo lat mid 5-10 dB. Control cho run3."
BEATs-MidExpert,run2-ce-only,0,1080,0.7176,0.8454,0.7176,0.7331,0.7176,0.7119,0.7176,0.7925,0.9768,,,"CE thuan + FiLM theo SNR, chon checkpoint theo lat mid 5-10 dB. Control cho run3."
BEATs-MidExpert,run2-ce-only,5,1080,0.6704,0.8231,0.6704,0.6906,0.6704,0.6615,0.6704,0.7599,0.9724,,,"CE thuan + FiLM theo SNR, chon checkpoint theo lat mid 5-10 dB. Control cho run3."
BEATs-MidExpert,run2-ce-only,10,1080,0.6602,0.8148,0.6602,0.6619,0.6602,0.6507,0.6602,0.7358,0.9686,,,"CE thuan + FiLM theo SNR, chon checkpoint theo lat mid 5-10 dB. Control cho run3."
BEATs-MidExpert,run2-ce-only,15,1080,0.6185,0.7731,0.6185,0.6389,0.6185,0.6144,0.6185,0.6806,0.9549,,,"CE thuan + FiLM theo SNR, chon checkpoint theo lat mid 5-10 dB. Control cho run3."
BEATs-MidExpert,run2-ce-only,20,1080,0.5333,0.713,0.5333,0.5635,0.5333,0.5323,0.5333,0.5878,0.9333,,,"CE thuan + FiLM theo SNR, chon checkpoint theo lat mid 5-10 dB. Control cho run3."
BEATs-MidExpert,run3b-crd-only,-5,1080,0.7194,0.85,0.7194,0.731,0.7194,0.7152,0.7194,0.8027,0.9794,,,"CE + CRD (b=0.8), khong KD. Setting chinh cua paper CRD."
BEATs-MidExpert,run3b-crd-only,0,1080,0.7194,0.8454,0.7194,0.7381,0.7194,0.7157,0.7194,0.7928,0.9766,,,"CE + CRD (b=0.8), khong KD. Setting chinh cua paper CRD."
BEATs-MidExpert,run3b-crd-only,5,1080,0.6769,0.8278,0.6769,0.6915,0.6769,0.6712,0.6769,0.758,0.9721,,,"CE + CRD (b=0.8), khong KD. Setting chinh cua paper CRD."
BEATs-MidExpert,run3b-crd-only,10,1080,0.6611,0.8185,0.6611,0.6567,0.6611,0.6523,0.6611,0.7412,0.9675,,,"CE + CRD (b=0.8), khong KD. Setting chinh cua paper CRD."
BEATs-MidExpert,run3b-crd-only,15,1080,0.6204,0.7741,0.6204,0.6375,0.6204,0.6168,0.6204,0.6844,0.9547,,,"CE + CRD (b=0.8), khong KD. Setting chinh cua paper CRD."
BEATs-MidExpert,run3b-crd-only,20,1080,0.5472,0.7333,0.5472,0.5721,0.5472,0.5468,0.5472,0.6041,0.9345,,,"CE + CRD (b=0.8), khong KD. Setting chinh cua paper CRD."
BEATs-MidExpert,run3c-kd-only,-5,1080,0.7287,0.8648,0.7287,0.7346,0.7287,0.7212,0.7287,0.8056,0.9805,,,"CE + KD (a=1.0, rho=4), khong CRD."
BEATs-MidExpert,run3c-kd-only,0,1080,0.7176,0.8426,0.7176,0.7335,0.7176,0.7098,0.7176,0.7952,0.9769,,,"CE + KD (a=1.0, rho=4), khong CRD."
BEATs-MidExpert,run3c-kd-only,5,1080,0.6815,0.8259,0.6815,0.7008,0.6815,0.6739,0.6815,0.7602,0.972,,,"CE + KD (a=1.0, rho=4), khong CRD."
BEATs-MidExpert,run3c-kd-only,10,1080,0.6676,0.8148,0.6676,0.6673,0.6676,0.6569,0.6676,0.7395,0.9675,,,"CE + KD (a=1.0, rho=4), khong CRD."
BEATs-MidExpert,run3c-kd-only,15,1080,0.6194,0.775,0.6194,0.6403,0.6194,0.6166,0.6194,0.6806,0.9534,,,"CE + KD (a=1.0, rho=4), khong CRD."
BEATs-MidExpert,run3c-kd-only,20,1080,0.5454,0.7231,0.5454,0.5707,0.5454,0.545,0.5454,0.5988,0.9348,,,"CE + KD (a=1.0, rho=4), khong CRD."
BEATs-MidExpert,run3-kd-crd,-5,1080,0.7204,0.8565,0.7204,0.7291,0.7204,0.7163,0.7204,0.7987,0.9786,,,"CE + KD + CRD. Phuong phap day du. Teacher nhin noise sach (privileged info), student chi nhin mixture."
BEATs-MidExpert,run3-kd-crd,0,1080,0.7194,0.8528,0.7194,0.7372,0.7194,0.7143,0.7194,0.7896,0.9762,,,"CE + KD + CRD. Phuong phap day du. Teacher nhin noise sach (privileged info), student chi nhin mixture."
BEATs-MidExpert,run3-kd-crd,5,1080,0.6815,0.8324,0.6815,0.6998,0.6815,0.6753,0.6815,0.749,0.9705,,,"CE + KD + CRD. Phuong phap day du. Teacher nhin noise sach (privileged info), student chi nhin mixture."
