true_label,predicted_label,count,true_class_samples,percent_of_true_class
Hi-hat,Acoustic guitar,64,180,35.55555555555556
Chime,Glockenspiel,41,180,22.77777777777778
Trumpet,Saxophone,39,180,21.666666666666668
Cough,Laughter,37,180,20.555555555555557
Scissors,Writing,37,180,20.555555555555557
Hi-hat,Applause,34,180,18.88888888888889
Glockenspiel,Acoustic guitar,26,180,14.444444444444445
Glockenspiel,Chime,26,180,14.444444444444445
Saxophone,Harmonica,25,180,13.88888888888889
Hi-hat,Cowbell,24,180,13.333333333333334
Tearing,Computer keyboard,24,180,13.333333333333334
Squeak,Bark,23,180,12.777777777777779
Clarinet,Saxophone,22,180,12.222222222222221
Drawer open or close,Computer keyboard,21,180,11.666666666666666
Microwave oven,Bus,21,180,11.666666666666666
Keys jangling,Computer keyboard,20,180,11.11111111111111
Keys jangling,Tearing,18,180,10.0
Computer keyboard,Telephone,17,180,9.444444444444445
Finger snapping,Writing,17,180,9.444444444444445
Glockenspiel,Cowbell,17,180,9.444444444444445
Scissors,Tearing,17,180,9.444444444444445
Writing,Meow,17,180,9.444444444444445
Clarinet,"Violin, fiddle",16,180,8.88888888888889
Drawer open or close,Scissors,16,180,8.88888888888889
Fireworks,"Gunshot, gunfire",16,180,8.88888888888889
Scissors,Bus,16,180,8.88888888888889
Trumpet,Clarinet,16,180,8.88888888888889
Fireworks,Tearing,15,180,8.333333333333334
Microwave oven,Writing,15,180,8.333333333333334
Squeak,Knock,15,180,8.333333333333334
Telephone,Acoustic guitar,15,180,8.333333333333334
Writing,Computer keyboard,15,180,8.333333333333334
"Burping, eructation",Laughter,14,180,7.777777777777778
Finger snapping,Laughter,14,180,7.777777777777778
Keys jangling,Scissors,14,180,7.777777777777778
Knock,Computer keyboard,14,180,7.777777777777778
Saxophone,Clarinet,14,180,7.777777777777778
Saxophone,Trumpet,14,180,7.777777777777778
Applause,Tambourine,13,180,7.222222222222222
Finger snapping,"Gunshot, gunfire",13,180,7.222222222222222
Shatter,Meow,13,180,7.222222222222222
Tearing,Scissors,13,180,7.222222222222222
"Violin, fiddle",Flute,13,180,7.222222222222222
Clarinet,Laughter,12,180,6.666666666666667
Cowbell,Acoustic guitar,12,180,6.666666666666667
Fart,Meow,12,180,6.666666666666667
Knock,Writing,12,180,6.666666666666667
Tearing,Writing,12,180,6.666666666666667
Applause,Glockenspiel,11,180,6.111111111111111
Bark,Meow,11,180,6.111111111111111
