true_label,predicted_label,count,true_class_samples,percent_of_true_class
Hi-hat,Acoustic guitar,50,180,27.77777777777778
Chime,Glockenspiel,44,180,24.444444444444443
Scissors,Writing,43,180,23.88888888888889
Cough,Laughter,33,180,18.333333333333332
Glockenspiel,Chime,32,180,17.77777777777778
Trumpet,Saxophone,30,180,16.666666666666668
Bus,Keys jangling,29,180,16.11111111111111
Clarinet,Saxophone,29,180,16.11111111111111
Hi-hat,Applause,28,180,15.555555555555555
Hi-hat,Cowbell,28,180,15.555555555555555
Scissors,Keys jangling,27,180,15.0
Saxophone,Trumpet,26,180,14.444444444444445
Cowbell,Chime,23,180,12.777777777777779
Fireworks,"Gunshot, gunfire",23,180,12.777777777777779
Saxophone,Harmonica,22,180,12.222222222222221
"Burping, eructation",Laughter,19,180,10.555555555555555
Finger snapping,"Gunshot, gunfire",19,180,10.555555555555555
Computer keyboard,Telephone,18,180,10.0
Clarinet,"Violin, fiddle",17,180,9.444444444444445
Computer keyboard,Knock,17,180,9.444444444444445
Finger snapping,Laughter,17,180,9.444444444444445
Microwave oven,Drawer open or close,16,180,8.88888888888889
Trumpet,Clarinet,16,180,8.88888888888889
"Violin, fiddle",Flute,16,180,8.88888888888889
Microwave oven,Bus,15,180,8.333333333333334
Applause,Tambourine,14,180,7.777777777777778
Glockenspiel,Acoustic guitar,14,180,7.777777777777778
"Gunshot, gunfire",Fireworks,14,180,7.777777777777778
Scissors,Drawer open or close,14,180,7.777777777777778
Squeak,Knock,14,180,7.777777777777778
Tearing,Writing,14,180,7.777777777777778
Acoustic guitar,Electric piano,13,180,7.222222222222222
Bus,Fireworks,13,180,7.222222222222222
Fireworks,Tearing,13,180,7.222222222222222
Clarinet,Glockenspiel,12,180,6.666666666666667
Fart,Knock,12,180,6.666666666666667
Fart,Meow,12,180,6.666666666666667
Harmonica,"Violin, fiddle",12,180,6.666666666666667
Knock,Drawer open or close,12,180,6.666666666666667
Microwave oven,Keys jangling,12,180,6.666666666666667
"Violin, fiddle",Electric piano,12,180,6.666666666666667
Applause,Glockenspiel,11,180,6.111111111111111
Computer keyboard,"Gunshot, gunfire",11,180,6.111111111111111
Computer keyboard,Writing,11,180,6.111111111111111
Fart,Laughter,11,180,6.111111111111111
Laughter,Squeak,11,180,6.111111111111111
Meow,Bark,11,180,6.111111111111111
Microwave oven,Writing,11,180,6.111111111111111
Shatter,Meow,11,180,6.111111111111111
Squeak,Bark,11,180,6.111111111111111
